Trip_ID,Pickup_DateTime,Drop_DateTime,Pickup_Location,Drop_Location,City,Fare_Amount,Payment_Type
T004234,2024-09-13 18:44:00,2024-09-13 19:11:00,Banjara Hills,Charminar,Hyderabad,235.08,Online
T004813,2024-09-15 17:22:00,2024-09-15 17:40:00,Wakad,JW Marriott,Pune,300.98,Cash
T006617,2024-09-20 22:39:00,2024-09-21 00:04:00,Baner,Aga Khan Palace,Pune,363.19,Online
T004142,2024-09-13 07:59:00,2024-09-13 08:55:00,Powai,Mall,Mumbai,326.21,Cash
T003889,2024-09-12 07:48:00,2024-09-12 08:31:00,MG Road,IISc Campus,Bangalore,308.62,Online
T002086,2024-09-07 21:32:00,2024-09-07 22:02:00,Janakpuri,Lotus Temple,Delhi,336.93,Cash
T005850,2024-09-17 04:07:00,2024-09-17 04:50:00,Bandra,Beach,Mumbai,574.94,Online
T003046,2024-09-10 08:18:00,2024-09-10 09:11:00,Koregaon Park,Ruby Hall Clinic,Pune,665.49,Online
T001381,2024-09-04 08:18:00,2024-09-04 09:13:00,Electronic City,Cubbon Park,Bangalore,624.54,Online
T002728,2024-09-09 02:40:00,2024-09-09 03:01:00,Velachery,Apollo Hospital,Chennai,504.82,Cash
T005520,2024-09-17 10:58:00,2024-09-17 12:15:00,MG Road,Commercial Street,Bangalore,1064.12,Cash
T000477,2024-09-02 17:20:00,2024-09-02 18:12:00,Jubilee Hills,Laad Bazaar,Hyderabad,360.19,Online
T000010,2024-09-01 13:45:00,2024-09-01 14:04:00,Koregaon Park,MG Road,Pune,332.85,Online
T000038,2024-09-01 18:24:00,2024-09-01 18:40:00,MG Road,KR Market,Bangalore,141.99,Online
T000473,2024-09-02 16:31:00,2024-09-02 16:55:00,Banjara Hills,Lumbini Park,Hyderabad,504.58,Online
T001846,2024-09-06 08:27:00,2024-09-06 08:40:00,HSR Layout,Manyata Tech Park,Bangalore,743.58,Online
T002041,2024-09-06 17:25:00,2024-09-06 17:57:00,Viman Nagar,Aga Khan Palace,Pune,307.95,Cash
T006024,2024-09-18 11:54:00,2024-09-18 12:59:00,Andheri,University,Mumbai,469.42,Online
T003169,2024-09-10 08:51:00,2024-09-10 09:12:00,Colaba,Stadium,Mumbai,281.01,Online
T000027,2024-09-01 08:47:00,2024-09-01 08:59:00,Downtown,Market,Mumbai,378.64,Online
T005456,2024-09-17 17:31:00,2024-09-17 18:56:00,Kempegowda Airport,Chinnaswamy Stadium,Bangalore,833.26,Online
T001956,2024-09-06 14:04:00,2024-09-06 14:52:00,Jubilee Hills,Laad Bazaar,Hyderabad,606.85,Online
T003471,2024-09-11 07:23:00,2024-09-11 07:45:00,Bandra,Market,Mumbai,318.55,Online
T001581,2024-09-05 17:26:00,2024-09-05 18:34:00,Wakad,Pashan Lake,Pune,516.74,Online
T000080,2024-09-01 09:29:00,2024-09-01 09:54:00,Kempegowda Airport,Commercial Street,Bangalore,582.64,Cash
T000059,2024-09-01 11:54:00,2024-09-01 12:26:00,Banjara Hills,Charminar,Hyderabad,291.99,Cash
T000986,2024-09-03 15:27:00,2024-09-03 16:25:00,Kurla,Station,Mumbai,748.28,Cash
T001255,2024-09-04 17:39:00,2024-09-04 18:34:00,Colaba,University,Mumbai,275.41,Cash
T002411,2024-09-08 22:37:00,2024-09-09 00:05:00,Kempegowda Airport,Victoria Hospital,Bangalore,917.29,Online
T004210,2024-09-13 19:09:00,2024-09-13 19:57:00,Banashankari,Chinnaswamy Stadium,Bangalore,427.19,Online
T004453,2024-09-14 19:51:00,2024-09-14 20:34:00,Airport,Office Complex,Mumbai,490.14,Online
T002283,2024-09-07 03:11:00,2024-09-07 04:32:00,Porur,Taj Coromandel,Chennai,751.81,Online
T004157,2024-09-13 07:38:00,2024-09-13 08:03:00,Malleshwaram,Chinnaswamy Stadium,Bangalore,520.24,Online
T004840,2024-09-15 08:17:00,2024-09-15 08:32:00,Kurla,Hospital,Mumbai,292.2,Online
T004323,2024-09-13 14:58:00,2024-09-13 15:58:00,LB Nagar,Lumbini Park,Hyderabad,341.88,Online
T003458,2024-09-11 19:05:00,2024-09-11 19:51:00,Kothrud,Shaniwar Wada,Pune,419.21,Online
T005593,2024-09-17 06:31:00,2024-09-17 07:43:00,Guindy,IT Corridor,Chennai,542.71,Online
T003099,2024-09-10 19:55:00,2024-09-10 21:17:00,Tambaram,IT Corridor,Chennai,514.35,Cash
T000723,2024-09-03 20:18:00,2024-09-03 21:17:00,Guindy,Fort St George,Chennai,631.23,Online
T002265,2024-09-07 18:30:00,2024-09-07 19:15:00,Jayanagar,Lalbagh,Bangalore,1459.41,Online
T001738,2024-09-06 07:58:00,2024-09-06 08:16:00,Deccan,Shaniwar Wada,Pune,189.42,Online
T003979,2024-09-13 03:51:00,2024-09-13 04:51:00,Velachery,Chepauk Stadium,Chennai,527.16,Online
T003065,2024-09-10 17:12:00,2024-09-10 17:59:00,Thane,Stadium,Mumbai,849.4,Cash
T003714,2024-09-12 01:51:00,2024-09-12 03:05:00,Kothrud,Rajiv Gandhi IT Park,Pune,757.61,Online
T005085,2024-09-15 16:51:00,2024-09-15 18:00:00,OMR,Apollo Hospital,Chennai,265.33,Online
T005412,2024-09-17 14:44:00,2024-09-17 15:06:00,Begumpet,Apollo Hospitals,Hyderabad,298.44,Online
T006324,2024-09-19 18:04:00,2024-09-19 18:31:00,Karol Bagh,Red Fort,Delhi,339.62,Online
T001092,2024-09-03 17:29:00,2024-09-03 17:45:00,Kukatpally,Secunderabad Station,Hyderabad,438.4,Online
T004628,2024-09-14 12:33:00,2024-09-14 14:01:00,Kurla,Station,Mumbai,620.96,Cash
T004051,2024-09-13 11:01:00,2024-09-13 12:06:00,Lajpat Nagar,DU Campus,Delhi,725.95,Cash
T001570,2024-09-05 09:44:00,2024-09-05 10:57:00,Electronic City,KR Market,Bangalore,938.85,Online
T001713,2024-09-05 15:52:00,2024-09-05 16:40:00,Baner,COEP Campus,Pune,445.81,Online
T002959,2024-09-10 18:11:00,2024-09-10 18:33:00,Rajiv Gandhi Airport,Secunderabad Station,Hyderabad,290.77,Online
T002409,2024-09-08 06:51:00,2024-09-08 07:55:00,Janakpuri,AIIMS,Delhi,702.4,Online
T004918,2024-09-15 17:36:00,2024-09-15 18:45:00,Koregaon Park,MG Road,Pune,371.89,Online
T006720,2024-09-13 01:35:00,2024-09-13 02:49:00,Koramangala,ITC Gardenia,Bangalore,-16.484176774256984,Cash
T001466,2024-09-04 16:02:00,2024-09-04 17:22:00,Colaba,Office Complex,Mumbai,1071.77,Online
T004781,2024-09-15 12:25:00,2024-09-15 13:49:00,Kukatpally,Charminar,Hyderabad,718.09,Online
T001258,2024-09-04 07:56:00,2024-09-04 08:59:00,Anna Nagar,Pondy Bazaar,Chennai,386.08,Online
T005530,2024-09-17 17:18:00,2024-09-17 18:03:00,MG Road,Commercial Street,Bangalore,534.23,Cash
T006014,2024-09-18 09:46:00,2024-09-18 09:57:00,Whitefield,UB City Mall,Bangalore,218.54,Online
T005627,2024-09-17 17:36:00,2024-09-17 18:42:00,Adyar,Express Avenue,Chennai,395.82,Online
T005216,2024-09-16 08:37:00,2024-09-16 08:55:00,Jayanagar,Cubbon Park,Bangalore,1238.45,Cash
T006242,2024-09-19 20:54:00,2024-09-19 22:23:00,Banashankari,Victoria Hospital,Bangalore,523.79,Online
T006477,2024-09-20 10:36:00,2024-09-20 11:51:00,Kukatpally,Secunderabad Station,Hyderabad,433.27,Online
T004479,2024-09-14 09:22:00,2024-09-14 10:18:00,Indiranagar,IISc Campus,Bangalore,719.1,Online
T003903,2024-09-12 09:20:00,2024-09-12 10:05:00,Wakad,COEP Campus,Pune,1070.66,Cash
T004851,2024-09-15 09:17:00,2024-09-15 09:45:00,LB Nagar,Golconda Fort,Hyderabad,149.4,Online
T004678,2024-09-14 18:02:00,2024-09-14 19:17:00,FC Road,JW Marriott,Pune,444.25,Cash
T000335,2024-09-01 14:36:00,2024-09-01 14:48:00,Kothrud,Ruby Hall Clinic,Pune,191.49,Online
T000441,2024-09-02 08:21:00,2024-09-02 08:43:00,IGI Airport,Metro Station,Delhi,951.71,Cash
T000918,2024-09-03 17:38:00,2024-09-03 18:15:00,OMR,IT Corridor,Chennai,268.69,Cash
T000530,2024-09-02 20:26:00,2024-09-02 21:11:00,Adyar,Central Station,Chennai,249.86,Online
T001359,2024-09-04 15:50:00,2024-09-04 17:17:00,Gurgaon,Metro Station,Delhi,419.37,Cash
T002029,2024-09-06 15:06:00,2024-09-06 16:04:00,Wakad,Pashan Lake,Pune,673.79,Cash
T002137,2024-09-07 18:12:00,2024-09-07 18:40:00,Aundh,MG Road,Pune,538.44,Online
T000750,2024-09-03 23:49:00,2024-09-04 00:08:00,Aundh,Pashan Lake,Pune,150.89,Online
T003887,2024-09-12 17:11:00,2024-09-12 18:36:00,Thane,Stadium,Mumbai,592.77,Online
T004100,2024-09-13 20:39:00,2024-09-13 21:03:00,Gachibowli,HITEC City,Hyderabad,153.83,Cash
T005218,2024-09-16 12:02:00,2024-09-16 12:59:00,Vasant Kunj,AIIMS,Delhi,751.64,Online
T004029,2024-09-13 21:43:00,2024-09-13 22:30:00,Jayanagar,Victoria Hospital,Bangalore,391.4,Online
T006534,2024-09-20 19:36:00,2024-09-20 20:55:00,Kukatpally,University of Hyderabad,Hyderabad,749.81,Online
T003373,2024-09-11 19:18:00,2024-09-11 19:59:00,Tambaram,Central Station,Chennai,530.58,Online
T003992,2024-09-13 08:51:00,2024-09-13 09:39:00,Anna Nagar,Express Avenue,Chennai,568.32,Online
T004801,2024-09-15 08:37:00,2024-09-15 09:14:00,Kempegowda Airport,Chinnaswamy Stadium,Bangalore,604.88,Online
T003454,2024-09-11 19:42:00,2024-09-11 20:15:00,Dwarka,Chandni Chowk,Delhi,529.42,Online
T002783,2024-09-09 18:46:00,2024-09-09 20:16:00,Banashankari,UB City Mall,Bangalore,691.33,Online
T006402,2024-09-19 08:37:00,2024-09-19 09:29:00,Pune Airport,JW Marriott,Pune,469.3,Online
T001943,2024-09-06 08:37:00,2024-09-06 09:25:00,Colaba,Stadium,Mumbai,707.51,Cash
T000812,2024-09-03 18:23:00,2024-09-03 19:50:00,Indiranagar,Cubbon Park,Bangalore,598.6,Online
T000730,2024-09-03 19:09:00,2024-09-03 19:29:00,Jayanagar,UB City Mall,Bangalore,472.57,Cash
T002289,2024-09-07 19:47:00,2024-09-07 20:36:00,Mylapore,Express Avenue,Chennai,1388.68,Online
T000281,2024-09-01 20:25:00,2024-09-01 21:14:00,Rajiv Gandhi Airport,University of Hyderabad,Hyderabad,325.73,Online
T003113,2024-09-10 09:32:00,2024-09-10 10:16:00,Lajpat Nagar,Lotus Temple,Delhi,682.88,Online
T001344,2024-09-04 21:39:00,2024-09-04 22:18:00,Bandra,Station,Mumbai,719.87,Online
T002993,2024-09-10 12:02:00,2024-09-10 12:28:00,Karol Bagh,Shopping Mall,Delhi,315.68,Online
T001310,2024-09-04 07:27:00,2024-09-04 07:51:00,Rajiv Gandhi Airport,University of Hyderabad,Hyderabad,436.3,Cash
T001859,2024-09-06 22:23:00,2024-09-06 22:45:00,Hadapsar,COEP Campus,Pune,236.88,Online
T006411,2024-09-19 20:26:00,2024-09-19 21:35:00,Dadar,Hotel,Mumbai,892.9,Cash
T005545,2024-09-17 08:29:00,2024-09-17 09:32:00,Hadapsar,Pune Station,Pune,527.1,Online
T001149,2024-09-04 18:25:00,2024-09-04 19:00:00,Mylapore,Marina Beach,Chennai,232.08,Cash
T004132,2024-09-13 23:51:00,2024-09-14 01:20:00,Indiranagar,Manyata Tech Park,Bangalore,677.51,Online
T002222,2024-09-07 23:31:00,2024-09-08 00:42:00,LB Nagar,Golconda Fort,Hyderabad,571.78,Online
T001515,2024-09-05 23:23:00,2024-09-05 23:43:00,Mylapore,Chepauk Stadium,Chennai,317.59,Online
T000653,2024-09-03 06:52:00,2024-09-03 08:05:00,Dwarka,Chandni Chowk,Delhi,1079.68,Cash
T005190,2024-09-16 10:23:00,2024-09-16 11:18:00,Lajpat Nagar,Shopping Mall,Delhi,560.78,Cash
T000205,2024-09-01 22:53:00,2024-09-02 00:19:00,Begumpet,Charminar,Hyderabad,885.0,Cash
T001481,2024-09-04 18:09:00,2024-09-04 18:19:00,LB Nagar,Forum Mall,Hyderabad,142.62,Online
T000262,2024-09-01 21:55:00,2024-09-01 22:41:00,Mylapore,Central Station,Chennai,291.36,Online
T000880,2024-09-03 11:08:00,2024-09-03 12:23:00,Uppal,Secunderabad Station,Hyderabad,716.89,Cash
T003626,2024-09-12 19:53:00,2024-09-12 20:46:00,LB Nagar,Lumbini Park,Hyderabad,510.91,Online
T003474,2024-09-11 07:31:00,2024-09-11 08:24:00,Malleshwaram,UB City Mall,Bangalore,420.6,Online
T000927,2024-09-03 07:23:00,2024-09-03 07:55:00,Thane,Office Complex,Mumbai,481.68,Online
T005643,2024-09-17 06:57:00,2024-09-17 07:15:00,FC Road,Shaniwar Wada,Pune,215.51,Online
T006187,2024-09-19 21:42:00,2024-09-19 21:59:00,Tambaram,IIT Madras,Chennai,243.13,Online
T003473,2024-09-11 15:04:00,2024-09-11 16:09:00,Gurgaon,Tech Park,Delhi,540.62,Online
T002981,2024-09-10 22:37:00,2024-09-10 22:57:00,Powai,Hotel,Mumbai,384.29,Online
T006748,2024-09-06 20:29:00,2024-09-06 20:55:00,Dadar,Beach,Mumbai,-44.33456398188944,Cash
T000626,2024-09-03 17:17:00,2024-09-03 17:33:00,Tambaram,IIT Madras,Chennai,311.32,Online
T003519,2024-09-12 14:35:00,2024-09-12 15:59:00,Secunderabad,Apollo Hospitals,Hyderabad,866.53,Cash
T000789,2024-09-03 10:26:00,2024-09-03 11:19:00,Rajiv Gandhi Airport,Charminar,Hyderabad,550.96,Online
T000482,2024-09-02 21:49:00,2024-09-02 23:04:00,Viman Nagar,Ruby Hall Clinic,Pune,709.82,Online
T001721,2024-09-06 08:41:00,2024-09-06 09:40:00,T Nagar,Taj Coromandel,Chennai,234.44,Online
T001484,2024-09-05 10:18:00,2024-09-05 10:37:00,Uppal,Lumbini Park,Hyderabad,200.23,Cash
T000100,2024-09-01 17:30:00,2024-09-01 17:47:00,IGI Airport,Lotus Temple,Delhi,363.53,Online
T003316,2024-09-11 05:47:00,2024-09-11 06:33:00,Airport,Beach,Mumbai,649.29,Online
T005965,2024-09-18 20:10:00,2024-09-18 20:21:00,Adyar,Pondy Bazaar,Chennai,840.12,Online
T003181,2024-09-10 15:44:00,2024-09-10 16:55:00,Baner,Shaniwar Wada,Pune,426.45,Online
T002065,2024-09-07 14:01:00,2024-09-07 15:16:00,Banjara Hills,Lumbini Park,Hyderabad,496.09,Cash
T003190,2024-09-10 16:24:00,2024-09-10 16:41:00,Kothrud,Phoenix Mall,Pune,317.32,Online
T006032,2024-09-18 20:25:00,2024-09-18 20:36:00,Kempegowda Airport,Victoria Hospital,Bangalore,457.13,Online
T000068,2024-09-01 13:42:00,2024-09-01 14:08:00,HSR Layout,ITC Gardenia,Bangalore,450.16,Cash
T001235,2024-09-04 12:59:00,2024-09-04 13:16:00,Hadapsar,MG Road,Pune,300.92,Online
T003982,2024-09-13 15:34:00,2024-09-13 16:09:00,Malleshwaram,ITC Gardenia,Bangalore,560.01,Online
T001889,2024-09-06 12:02:00,2024-09-06 13:21:00,Uppal,Golconda Fort,Hyderabad,760.01,Cash
T001371,2024-09-04 09:06:00,2024-09-04 09:54:00,Chennai Airport,Apollo Hospital,Chennai,266.58,Online
T003823,2024-09-12 14:09:00,2024-09-12 14:36:00,Rajiv Gandhi Airport,University of Hyderabad,Hyderabad,540.82,Cash
T005534,2024-09-17 07:51:00,2024-09-17 08:04:00,Banjara Hills,Lumbini Park,Hyderabad,128.85,Cash
T000627,2024-09-03 20:37:00,2024-09-03 20:52:00,HSR Layout,Manyata Tech Park,Bangalore,535.45,Cash
T000718,2024-09-03 22:28:00,2024-09-03 22:58:00,Kondapur,Secunderabad Station,Hyderabad,211.2,Cash
T006583,2024-09-20 08:01:00,2024-09-20 08:51:00,Rohini,Red Fort,Delhi,649.51,Online
T004383,2024-09-14 17:05:00,2024-09-14 17:31:00,Kukatpally,Forum Mall,Hyderabad,268.82,Online
T004795,2024-09-15 15:49:00,2024-09-15 16:54:00,Pune Airport,Pashan Lake,Pune,543.95,Online
T000845,2024-09-03 17:04:00,2024-09-03 17:52:00,Kothrud,Rajiv Gandhi IT Park,Pune,341.61,Online
T002370,2024-09-07 08:51:00,2024-09-07 10:16:00,T Nagar,Pondy Bazaar,Chennai,739.9,Cash
T005298,2024-09-16 06:36:00,2024-09-16 07:29:00,Dadar,Market,Mumbai,525.58,Online
T001324,2024-09-04 09:59:00,2024-09-04 11:07:00,Baner,MG Road,Pune,421.97,Online
T000779,2024-09-03 19:15:00,2024-09-03 19:32:00,Thane,University,Mumbai,210.2,Online
T004760,2024-09-15 13:05:00,2024-09-15 13:23:00,Mylapore,Chepauk Stadium,Chennai,172.17,Online
T003583,2024-09-12 17:53:00,2024-09-12 19:16:00,Lajpat Nagar,Five Star Hotel,Delhi,870.55,Online
T003370,2024-09-11 13:23:00,2024-09-11 14:17:00,MG Road,KR Market,Bangalore,699.81,Online
T004891,2024-09-15 07:54:00,2024-09-15 08:16:00,Karol Bagh,Tech Park,Delhi,320.9,Online
T003288,2024-09-10 09:20:00,2024-09-10 10:25:00,MG Road,ITC Gardenia,Bangalore,789.09,Online
T004973,2024-09-15 07:35:00,2024-09-15 08:22:00,Viman Nagar,Pashan Lake,Pune,378.3,Cash
T001210,2024-09-04 19:19:00,2024-09-04 19:46:00,Jayanagar,UB City Mall,Bangalore,184.58,Online
T000638,2024-09-03 16:55:00,2024-09-03 18:14:00,Mylapore,Marina Beach,Chennai,525.07,Online
T002919,2024-09-10 14:48:00,2024-09-10 15:35:00,Guindy,Chepauk Stadium,Chennai,189.42,Cash
T006082,2024-09-18 20:58:00,2024-09-18 21:58:00,Vasant Kunj,India Gate,Delhi,612.56,Cash
T003622,2024-09-12 09:29:00,2024-09-12 10:44:00,Chennai Airport,Fort St George,Chennai,889.78,Cash
T002514,2024-09-08 18:46:00,2024-09-08 19:07:00,Hadapsar,JW Marriott,Pune,465.77,Cash
T003002,2024-09-10 12:47:00,2024-09-10 13:55:00,Airport,Office Complex,Mumbai,931.04,Cash
T001706,2024-09-05 10:02:00,2024-09-05 10:45:00,Janakpuri,Five Star Hotel,Delhi,688.62,Cash
T006619,2024-09-20 20:44:00,2024-09-20 21:34:00,Colaba,Office Complex,Mumbai,440.75,Cash
T006653,2024-09-06 01:27:00,2024-09-06 02:18:00,Lajpat Nagar,Chandni Chowk,Delhi,0.0,Online
T000191,2024-09-01 13:49:00,2024-09-01 14:43:00,Anna Nagar,Apollo Hospital,Chennai,285.18,Cash
T005349,2024-09-16 21:57:00,2024-09-16 22:36:00,Airport,Port,Mumbai,793.62,Online
T001510,2024-09-05 16:44:00,2024-09-05 16:57:00,Dwarka,DU Campus,Delhi,471.4,Online
T004188,2024-09-13 18:49:00,2024-09-13 19:35:00,LB Nagar,Golconda Fort,Hyderabad,401.86,Online
T002625,2024-09-09 17:51:00,2024-09-09 18:47:00,Bandra,Port,Mumbai,538.06,Cash
T004980,2024-09-15 08:04:00,2024-09-15 08:53:00,Kondapur,Forum Mall,Hyderabad,869.8,Online
T002469,2024-09-08 19:03:00,2024-09-08 19:52:00,OMR,Pondy Bazaar,Chennai,964.74,Online
T003899,2024-09-12 12:10:00,2024-09-12 13:18:00,Powai,Station,Mumbai,852.15,Cash
T005059,2024-09-15 16:57:00,2024-09-15 18:24:00,Worli,Mall,Mumbai,990.63,Online
T005302,2024-09-16 11:00:00,2024-09-16 11:54:00,Viman Nagar,Phoenix Mall,Pune,690.06,Online
T001027,2024-09-03 22:17:00,2024-09-03 23:00:00,Karol Bagh,Chandni Chowk,Delhi,804.2,Cash
T000065,2024-09-01 23:13:00,2024-09-02 00:42:00,T Nagar,Central Station,Chennai,730.37,Cash
T001396,2024-09-04 13:15:00,2024-09-04 14:17:00,Aundh,Rajiv Gandhi IT Park,Pune,710.18,Online
T006629,2024-09-20 20:57:00,2024-09-20 21:18:00,Secunderabad,HITEC City,Hyderabad,384.71,Online
T004661,2024-09-14 18:56:00,2024-09-14 20:21:00,Bandra,Hotel,Mumbai,767.05,Online
T004101,2024-09-13 22:28:00,2024-09-13 23:49:00,Airport,Hospital,Mumbai,711.81,Cash
T000344,2024-09-01 18:05:00,2024-09-01 18:19:00,Indiranagar,Chinnaswamy Stadium,Bangalore,1149.13,Cash
T002446,2024-09-08 08:44:00,2024-09-08 09:06:00,Kukatpally,University of Hyderabad,Hyderabad,546.91,Cash
T004848,2024-09-15 21:57:00,2024-09-15 22:40:00,Viman Nagar,Pashan Lake,Pune,517.18,Online
T006325,2024-09-19 19:56:00,2024-09-19 21:04:00,Janakpuri,Tech Park,Delhi,913.87,Online
T005927,2024-09-18 18:15:00,2024-09-18 18:52:00,Kempegowda Airport,IISc Campus,Bangalore,654.13,Online
T002463,2024-09-08 14:13:00,2024-09-08 15:05:00,T Nagar,Apollo Hospital,Chennai,569.41,Online
T002202,2024-09-07 14:24:00,2024-09-07 15:48:00,Wakad,JW Marriott,Pune,527.13,Online
T000597,2024-09-02 23:16:00,2024-09-02 23:40:00,Gurgaon,DU Campus,Delhi,599.04,Online
T005889,2024-09-18 07:00:00,2024-09-18 07:26:00,Worli,Stadium,Mumbai,440.59,Online
T005928,2024-09-18 09:23:00,2024-09-18 10:10:00,Downtown,Office Complex,Mumbai,699.26,Online
T002071,2024-09-07 08:02:00,2024-09-07 09:10:00,Adyar,Apollo Hospital,Chennai,805.15,Online
T005466,2024-09-17 16:26:00,2024-09-17 16:38:00,Kothrud,MG Road,Pune,330.97,Online
T001042,2024-09-03 20:24:00,2024-09-03 20:41:00,HSR Layout,ITC Gardenia,Bangalore,435.28,Online
T005830,2024-09-17 09:03:00,2024-09-17 10:30:00,Deccan,Pashan Lake,Pune,1503.45,Cash
T002121,2024-09-07 16:37:00,2024-09-07 17:12:00,Jayanagar,IISc Campus,Bangalore,400.84,Cash
T002028,2024-09-06 19:12:00,2024-09-06 19:27:00,Anna Nagar,IT Corridor,Chennai,108.19,Cash
T006071,2024-09-18 20:41:00,2024-09-18 21:13:00,Gurgaon,Lotus Temple,Delhi,464.86,Online
T005606,2024-09-17 09:08:00,2024-09-17 09:27:00,Airport,Port,Mumbai,520.26,Online
T000618,2024-09-02 17:52:00,2024-09-02 18:08:00,Thane,Port,Mumbai,456.37,Online
T002132,2024-09-07 05:30:00,2024-09-07 05:57:00,Adyar,IT Corridor,Chennai,296.65,Cash
T002504,2024-09-08 21:09:00,2024-09-08 22:14:00,Downtown,Mall,Mumbai,734.57,Online
T005174,2024-09-16 07:30:00,2024-09-16 07:45:00,Kondapur,Forum Mall,Hyderabad,429.39,Online
T005856,2024-09-17 20:09:00,2024-09-17 20:51:00,Colaba,Office Complex,Mumbai,1501.42,Online
T002270,2024-09-07 20:43:00,2024-09-07 20:56:00,Begumpet,University of Hyderabad,Hyderabad,411.07,Online
T006279,2024-09-19 09:35:00,2024-09-19 11:02:00,Powai,Market,Mumbai,704.59,Online
T001902,2024-09-06 18:29:00,2024-09-06 19:08:00,Hadapsar,JW Marriott,Pune,1337.81,Online
T002627,2024-09-09 14:56:00,2024-09-09 15:11:00,Jayanagar,Commercial Street,Bangalore,114.16,Online
T004694,2024-09-14 07:01:00,2024-09-14 07:35:00,Kondapur,Secunderabad Station,Hyderabad,458.66,Cash
T004725,2024-09-15 12:31:00,2024-09-15 13:51:00,Hadapsar,Shaniwar Wada,Pune,651.8,Cash
T004986,2024-09-15 19:15:00,2024-09-15 19:26:00,Malleshwaram,Commercial Street,Bangalore,123.86,Cash
T003301,2024-09-11 13:04:00,2024-09-11 13:21:00,HSR Layout,Chinnaswamy Stadium,Bangalore,275.39,Online
T001075,2024-09-03 16:37:00,2024-09-03 17:27:00,Colaba,Hospital,Mumbai,801.39,Cash
T002436,2024-09-08 08:16:00,2024-09-08 08:46:00,Kempegowda Airport,KR Market,Bangalore,376.82,Online
T003532,2024-09-12 18:16:00,2024-09-12 18:27:00,Jayanagar,Manyata Tech Park,Bangalore,444.16,Online
T002895,2024-09-10 08:33:00,2024-09-10 09:58:00,Hadapsar,Ruby Hall Clinic,Pune,1859.71,Cash
T004410,2024-09-14 17:13:00,2024-09-14 17:55:00,Koramangala,ITC Gardenia,Bangalore,567.46,Cash
T000259,2024-09-01 21:12:00,2024-09-01 21:52:00,Janakpuri,Shopping Mall,Delhi,619.36,Online
T006244,2024-09-19 16:42:00,2024-09-19 18:11:00,Secunderabad,ITC Kakatiya,Hyderabad,555.97,Online
T003966,2024-09-13 19:52:00,2024-09-13 20:41:00,Gurgaon,DU Campus,Delhi,641.51,Online
T002179,2024-09-07 03:29:00,2024-09-07 04:05:00,Thane,Office Complex,Mumbai,337.01,Online
T002276,2024-09-07 01:57:00,2024-09-07 02:50:00,Powai,Office Complex,Mumbai,444.97,Online
T000974,2024-09-03 08:08:00,2024-09-03 08:31:00,Banjara Hills,Golconda Fort,Hyderabad,896.53,Online
T000061,2024-09-01 08:06:00,2024-09-01 08:53:00,Koramangala,KR Market,Bangalore,528.05,Cash
T006710,2024-09-04 21:23:00,2024-09-04 22:28:00,FC Road,Aga Khan Palace,Pune,-0.5,Cash
